SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,929 Millard Ct West,Jacksonville,FL,32225,294000,3,2.0,Queen Akers,1528,,1962,20,192,,Active,,,https://www.redfin.com/FL/Jacksonville/929-Millard-Ct-W-32225/home/62436343,NEFLMLS,1154630,N,Y,30.3368985,-81.5269639
MLS Listing,,Single Family Residential,4669 Williamsburg Ave,Jacksonville,FL,32208,173400,3,2.0,Osceola Forest,1294,,1954,72,134,,Active,,,https://www.redfin.com/FL/Jacksonville/4669-Williamsburg-Ave-32208/home/108255287,NEFLMLS,1154169,N,Y,30.4053896,-81.7205134
MLS Listing,,Single Family Residential,3717 Freeman Rd,Jacksonville,FL,32207,249000,4,2.0,Pine Forest Heights,1360,,1951,72,183,,Active,,,https://www.redfin.com/FL/Jacksonville/3717-Freeman-Rd-32207/home/108889526,NEFLMLS,1153762,N,Y,30.2854588,-81.6391905
MLS Listing,,Single Family Residential,12787 Attrill Rd,Jacksonville,FL,32258,327000,3,2.0,Manor Del Rio,1378,,1980,26,237,,Active,,,https://www.redfin.com/FL/Jacksonville/12787-Attrill-Rd-32258/home/72776680,NEFLMLS,1153541,N,Y,30.1365539,-81.5625348
MLS Listing,,Single Family Residential,3807 Ernjo Rd,Jacksonville,FL,32209,250000,3,2.0,Moncrief Gardens,1369,,1967,86,183,,Active,,,https://www.redfin.com/FL/Jacksonville/3807-Ernjo-Rd-32209/home/72828197,NEFLMLS,1152994,N,Y,30.3849237,-81.7104438
MLS Listing,,Single Family Residential,1056 Fairwood Ln South,Jacksonville,FL,32205,229000,3,2.0,Murray Hill,1288,,1941,79,178,,Active,,,https://www.redfin.com/FL/Jacksonville/1056-Fairwood-Ln-S-32205/home/108851085,NEFLMLS,1152886,N,Y,30.3117245,-81.7080705
MLS Listing,,Single Family Residential,1449 Aletha Dr,JACKSONVILLE,FL,32211,220000,6,2.0,ROYAL OAKS,2282,24087,1969,15,96,,Active,,,https://www.redfin.com/FL/Jacksonville/1449-Aletha-Dr-32211/home/108815123,Stellar MLS,O6001786,N,Y,30.3388866,-81.5817268
MLS Listing,,Single Family Residential,1710 Carter Landing Blvd,Jacksonville,FL,32221,302990,3,2.0,CARTER LANDING,1342,,2021,22,226,30,Active,,,https://www.redfin.com/FL/Jacksonville/1710-Carter-Landing-Blvd-32221/home/178221123,NEFLMLS,1152213,N,Y,30.2853719,-81.8184926
MLS Listing,,Single Family Residential,737 Moravon Ave,Jacksonville,FL,32211,292000,3,2.0,Arlingwood,1621,,1955,77,180,,Active,,,https://www.redfin.com/FL/Jacksonville/737-Moravon-Ave-32211/home/60469492,NEFLMLS,1152018,N,Y,30.3274101,-81.5633918
MLS Listing,,Single Family Residential,6250 Pettiford Dr East,Jacksonville,FL,32209,179000,4,2.0,Floradale,1338,,1961,97,134,,Active,,,https://www.redfin.com/FL/Jacksonville/6250-Pettiford-Dr-W-32209/home/72829694,NEFLMLS,1151292,N,Y,30.3781697,-81.7205989
MLS Listing,,Single Family Residential,318 Trout River Dr,Jacksonville,FL,32208,339000,3,2.5,Panama Park,2298,,1947,93,148,,Active,,,https://www.redfin.com/FL/Jacksonville/318-Trout-River-Dr-32208/home/72830828,NEFLMLS,1151087,N,Y,30.3904,-81.6448741
MLS Listing,,Single Family Residential,961 Ardmore St,Jacksonville,FL,32208,195000,4,2.0,Meadows At St Johns,1485,,1929,71,131,,Active,,,https://www.redfin.com/FL/Jacksonville/961-Ardmore-St-32208/home/74434086,NEFLMLS,1150642,N,Y,30.3798487,-81.6718416
MLS Listing,,Single Family Residential,7163 Mark St,Jacksonville,FL,32210,260000,5,4.0,Sweetwater Park,2217,,1962,80,117,,Active,,,https://www.redfin.com/FL/Jacksonville/7163-Mark-St-32210/home/72816506,NEFLMLS,1150287,N,Y,30.2676774,-81.7635984
MLS Listing,,Single Family Residential,1403 West 33rd St,Jacksonville,FL,32209,145000,3,2.0,Moncrief Heights,1232,,1958,64,118,,Active,,,https://www.redfin.com/FL/Jacksonville/1403-W-33rd-St-32209/home/108255243,NEFLMLS,1145733,N,Y,30.3651544,-81.6780236
